Wall time,Step,Value
1763363891.477341,571392,-2.4894490242004395
1763363899.0896692,573440,-2.4897139072418213
1763363907.3100917,575488,-2.4857800006866455
1763363915.1934814,577536,-2.488219976425171
1763363923.0110724,579584,-2.487039089202881
1763363931.24909,581632,-2.4898838996887207
1763363939.039901,583680,-2.4896979331970215
1763363946.9899604,585728,-2.4874460697174072
1763363955.2604196,587776,-2.4887499809265137
1763363962.738621,589824,-2.490186929702759
1763363970.8032584,591872,-2.4902729988098145
1763363979.1024003,593920,-2.4898929595947266
1763363986.617821,595968,-2.4895780086517334
1763363994.713003,598016,-2.4895501136779785
1763364003.018375,600064,-2.486565113067627
1763364010.666188,602112,-2.4902429580688477
1763364018.88275,604160,-2.4900600910186768
1763364027.0857089,606208,-2.4895288944244385
1763364034.5860012,608256,-2.4890520572662354
1763364042.9095705,610304,-2.486319065093994
1763364051.1425958,612352,-2.4897069931030273
1763364058.6899993,614400,-2.4893670082092285
1763364066.9248655,616448,-2.487886905670166
1763364075.131042,618496,-2.487592935562134
1763364082.6980007,620544,-2.488576889038086
1763364090.9495788,622592,-2.486794948577881
1763364098.9942539,624640,-2.487471103668213
1763364106.7424288,626688,-2.4898979663848877
1763364114.9909277,628736,-2.490061044692993
1763364122.7465315,630784,-2.4884181022644043
1763364130.6531496,632832,-2.4858388900756836
1763364138.9202404,634880,-2.4867401123046875
1763364146.4103577,636928,-2.486020088195801
1763364154.434306,638976,-2.490691900253296
1763364162.6975083,641024,-2.4881060123443604
1763364170.1834698,643072,-2.4885470867156982
1763364178.2799137,645120,-2.487981081008911
1763364186.5680225,647168,-2.489748954772949
1763364194.0685883,649216,-2.489471912384033
1763364202.3065767,651264,-2.4882240295410156
1763364212.005746,653312,-2.489219903945923
1763364219.7771382,655360,-2.4865009784698486
1763364228.0365486,657408,-2.489553928375244
1763364236.3671772,659456,-2.488713026046753
1763364243.9594953,661504,-2.49035906791687
1763364252.2978108,663552,-2.490151882171631
1763364260.4441903,665600,-2.48704195022583
1763364268.0684445,667648,-2.4858388900756836
1763364276.3902502,669696,-2.487032890319824
1763364284.1663995,671744,-2.487338066101074
1763364292.0956771,673792,-2.4892709255218506
1763364300.4076786,675840,-2.4905059337615967
1763364307.8963761,677888,-2.486146926879883
1763364316.1423385,679936,-2.4866199493408203
1763364324.5105062,681984,-2.4909539222717285
1763364332.0396664,684032,-2.485924005508423
1763364340.343489,686080,-2.4862990379333496
1763364348.74678,688128,-2.4860050678253174
1763364356.2414062,690176,-2.4871950149536133
1763364364.5305722,692224,-2.4861180782318115
1763364372.5314004,694272,-2.485447883605957
1763364380.3427176,696320,-2.490118980407715
1763364388.6386843,698368,-2.4882280826568604
1763364396.3289526,700416,-2.4856839179992676
1763364404.3289456,702464,-2.485944986343384
1763364412.5833569,704512,-2.4907209873199463
1763364420.066922,706560,-2.488539934158325
1763364428.4033332,708608,-2.4899790287017822
1763364436.7392077,710656,-2.4860689640045166
1763364444.2357402,712704,-2.48557710647583
1763364452.5107687,714752,-2.489182949066162
1763364460.8801613,716800,-2.486725091934204
1763364468.3619177,718848,-2.48694109916687
1763364476.6256323,720896,-2.4897069931030273
1763364484.5002232,722944,-2.4899520874023438
1763364492.3826075,724992,-2.489569902420044
1763364500.6678064,727040,-2.4901158809661865
1763364508.2851644,729088,-2.48728609085083
1763364516.400301,731136,-2.4875340461730957
1763364524.7833521,733184,-2.486840009689331
1763364532.26849,735232,-2.4879159927368164
1763364540.458524,737280,-2.4861578941345215
1763364548.845407,739328,-2.490403890609741
1763364556.395808,741376,-2.4858028888702393
1763364564.679741,743424,-2.4867799282073975
1763364572.9516916,745472,-2.4865128993988037
1763364580.5334578,747520,-2.4855010509490967
1763364588.8935947,749568,-2.4879310131073
1763364596.9054472,751616,-2.48586106300354
1763364604.7179697,753664,-2.4870569705963135
1763364613.1229863,755712,-2.486180067062378
1763364620.7732184,757760,-2.4861440658569336
1763364628.8183618,759808,-2.4891469478607178
